url,link_title,channel,no_of_views,time_uploaded,comment,author,comment_posted,no_of_replies,upvotes,downvotes
https://www.youtube.com/watch?v=5mP5RveA_tk,Girls Ages 6-18 Talk About Body Image | Allure,Allure,"5,014,874 views","Jun 1, 2018","skinny - “eat more”
big - “eat less” 
black - “ugly”
white - “basic”",hauntedxdreamss,,,9.6K
https://www.youtube.com/watch?v=5mP5RveA_tk,Girls Ages 6-18 Talk About Body Image | Allure,Allure,"5,014,874 views","Jun 1, 2018",The fact that the 11 year old doesn’t like looking in the mirror at all proves something wrong,Madeleine burns,,,8.5K
https://www.youtube.com/watch?v=5mP5RveA_tk,Girls Ages 6-18 Talk About Body Image | Allure,Allure,"5,014,874 views","Jun 1, 2018",I am sorry but did anyone else notice how beautiful these girls are???,Marlie Noto,,,7.5K
https://www.youtube.com/watch?v=5mP5RveA_tk,Girls Ages 6-18 Talk About Body Image | Allure,Allure,"5,014,874 views","Jun 1, 2018","""It only takes a second to call a girl fat and She'll take a lifetime trying to starve herself.. think before you act""
-Harry Styles",Molly Hochmuth,,,3.9K
https://www.youtube.com/watch?v=5mP5RveA_tk,Girls Ages 6-18 Talk About Body Image | Allure,Allure,"5,014,874 views","Jun 1, 2018","""I avoid looking in the mirror because if I do, I only think about how I want to be.""

- 11 year old",Nexus Schnitz,,,3.9K
https://www.youtube.com/watch?v=5mP5RveA_tk,Girls Ages 6-18 Talk About Body Image | Allure,Allure,"5,014,874 views","Jun 1, 2018","chubbier: bullied
slimmer: bullied
anorexic: bullied
overweight: bullied",hey there,,,8.7K
https://www.youtube.com/watch?v=5mP5RveA_tk,Girls Ages 6-18 Talk About Body Image | Allure,Allure,"5,014,874 views","Jun 1, 2018",the fact that ALL WOMEN can relate to this is widely concerning.,Dani Avila,,,1.3K
https://www.youtube.com/watch?v=5mP5RveA_tk,Girls Ages 6-18 Talk About Body Image | Allure,Allure,"5,014,874 views","Jun 1, 2018","""Real girls aren't perfect, perfect girls aren't real""

~Harry Styles",Dilek D.,,,3.6K
https://www.youtube.com/watch?v=5mP5RveA_tk,Girls Ages 6-18 Talk About Body Image | Allure,Allure,"5,014,874 views","Jun 1, 2018",the fact that a 10 year old wears stuff that makes her look “thinner” is really really sad and terrifying,lucy pearce,,,1K
https://www.youtube.com/watch?v=5mP5RveA_tk,Girls Ages 6-18 Talk About Body Image | Allure,Allure,"5,014,874 views","Jun 1, 2018","""no one is born ugly we just live in a judgemental society""
                                  ~Namjoon(BTS)",Aarna!,,,2.1K
https://www.youtube.com/watch?v=5mP5RveA_tk,Girls Ages 6-18 Talk About Body Image | Allure,Allure,"5,014,874 views","Jun 1, 2018","So in our society: 
Skinny: bullied 
Chubbier: bullied
Curvier: bullied ",Thalia F.B,,,13K
